state,year,count,population,crude_rate_100k
Alabama,1999,158,1255857,12.58
Alaska,1999,25,208726,11.98
Arizona,1999,212,1480412,14.32
Arkansas,1999,104,762405,13.64
California,1999,1623,10162042,15.969999999999999
Colorado,1999,195,1204900,16.180000000000003
Connecticut,1999,144,917417,15.700000000000001
Delaware,1999,36,215727,16.69
District of Columbia,1999,16,134755,11.870000000000001
Florida,1999,652,4003280,16.290000000000003
Georgia,1999,329,2373428,13.86
Hawaii,1999,53,331050,16.01
Idaho,1999,70,411481,17.01
Illinois,1999,591,3599110,16.419999999999998
Indiana,1999,297,1755549,16.919999999999998
Iowa,1999,123,827846,14.86
Kansas,1999,111,798028,13.91
Kentucky,1999,171,1116377,15.32
Louisiana,1999,205,1376341,14.89
Maine,1999,63,336396,18.73
Maryland,1999,251,1482861,16.930000000000003
Massachusetts,1999,262,1666586,15.719999999999999
Michigan,1999,438,2881172,15.200000000000001
Minnesota,1999,226,1429505,15.81
Missouri,1999,221,1594201,13.86
Montana,1999,45,258680,17.400000000000002
Nebraska,1999,84,505276,16.62
Nevada,1999,77,541544,14.219999999999999
New Hampshire,1999,47,342122,13.740000000000002
New Jersey,1999,398,2263704,17.580000000000002
New Mexico,1999,91,567386,16.040000000000003
New York,1999,869,5187922,16.75
North Carolina,1999,332,2158582,15.380000000000003
North Dakota,1999,22,185754,11.840000000000002
Ohio,1999,533,3222127,16.540000000000003
Oklahoma,1999,151,1004768,15.030000000000001
Oregon,1999,168,940829,17.86
Pennsylvania,1999,549,3275657,16.76
Rhode Island,1999,37,280486,13.190000000000001
South Carolina,1999,146,1132367,12.89
Tennessee,1999,175,1548896,11.3
Texas,1999,1112,6488388,17.14
Utah,1999,129,808255,15.96
Vermont,1999,34,166246,20.450000000000003
Virginia,1999,273,1918957,14.230000000000002
Washington,1999,274,1674996,16.36
West Virginia,1999,77,460838,16.71
Wisconsin,1999,239,1530291,15.62
Wyoming,1999,24,147463,16.28
Alabama,2000,204,1255347,16.25
Alaska,2000,29,208054,13.940000000000001
Arizona,2000,245,1525842,16.06
Arkansas,2000,117,760784,15.380000000000003
California,2000,1609,10255924,15.690000000000001
Colorado,2000,208,1231243,16.89
Connecticut,2000,177,926152,19.11
Delaware,2000,40,218649,18.290000000000003
District of Columbia,2000,20,135284,14.780000000000001
Florida,2000,711,4058589,17.52
Georgia,2000,367,2422975,15.15
Hawaii,2000,38,326890,11.620000000000001
Idaho,2000,62,415519,14.92
Illinois,2000,547,3606347,15.17
Indiana,2000,283,1764612,16.040000000000003
Iowa,2000,148,827924,17.880000000000003
Kansas,2000,110,799571,13.76
Kentucky,2000,194,1114144,17.41
Louisiana,2000,192,1365997,14.06
Maine,2000,50,335714,14.89
Maryland,2000,222,1493782,14.86
Massachusetts,2000,286,1676429,17.06
Michigan,2000,493,2884980,17.09
Minnesota,2000,261,1438110,18.150000000000002
Missouri,2000,260,1595254,16.3
Montana,2000,60,257558,23.3
Nebraska,2000,75,504598,14.86
Nevada,2000,94,566256,16.6
New Hampshire,2000,54,345002,15.65
New Jersey,2000,413,2285412,18.07
New Mexico,2000,85,564526,15.06
New York,2000,904,5206876,17.36
North Carolina,2000,343,2196520,15.62
North Dakota,2000,24,183168,13.100000000000001
Ohio,2000,482,3214599,14.990000000000002
Oklahoma,2000,151,1001944,15.07
Oregon,2000,148,945370,15.66
Pennsylvania,2000,562,3267204,17.2
Rhode Island,2000,62,282804,21.92
South Carolina,2000,161,1137657,14.15
Tennessee,2000,215,1562595,13.76
Texas,2000,1143,6568599,17.400000000000002
Utah,2000,146,814633,17.919999999999998
Vermont,2000,26,166313,15.630000000000003
Virginia,2000,296,1940254,15.26
Washington,2000,283,1686223,16.78
West Virginia,2000,72,453453,15.880000000000003
Wisconsin,2000,259,1533977,16.880000000000003
Wyoming,2000,21,145286,14.450000000000001
Alabama,2001,175,1249631,14
Alaska,2001,27,207943,12.980000000000002
Arizona,2001,264,1546638,17.07
Arkansas,2001,132,756879,17.44
California,2001,1740,10313880,16.87
Colorado,2001,199,1256827,15.830000000000002
Connecticut,2001,183,934730,19.580000000000002
Delaware,2001,48,219794,21.840000000000003
District of Columbia,2001,17,135330,12.56
Florida,2001,759,4121474,18.419999999999998
Georgia,2001,394,2460269,16.01
Hawaii,2001,62,326708,18.98
Idaho,2001,87,418950,20.77
Illinois,2001,595,3603190,16.51
Indiana,2001,310,1767384,17.540000000000003
Iowa,2001,145,824756,17.580000000000002
Kansas,2001,129,798625,16.150000000000002
Kentucky,2001,206,1109841,18.56
Louisiana,2001,199,1349122,14.75
Maine,2001,63,335588,18.77
Maryland,2001,169,1506076,11.22
Massachusetts,2001,264,1683014,15.690000000000001
Michigan,2001,532,2880673,18.47
Minnesota,2001,270,1443735,18.7
Missouri,2001,220,1593065,13.81
Montana,2001,41,256430,15.990000000000002
Nebraska,2001,90,504986,17.82
Nevada,2001,103,584060,17.64
New Hampshire,2001,63,347811,18.11
New Jersey,2001,463,2303248,20.1
New Mexico,2001,103,560758,18.37
New York,2001,936,5193778,18.02
North Carolina,2001,340,2239347,15.180000000000001
North Dakota,2001,32,181084,17.669999999999998
Ohio,2001,498,3200250,15.56
Oklahoma,2001,160,996798,16.05
Oregon,2001,170,947017,17.95
Pennsylvania,2001,574,3256966,17.62
Rhode Island,2001,59,283057,20.840000000000003
South Carolina,2001,163,1140572,14.290000000000001
South Dakota,2001,29,226592,12.8
Tennessee,2001,248,1565704,15.840000000000002
Texas,2001,1252,6650892,18.82
Utah,2001,139,819288,16.97
Vermont,2001,33,166257,19.85
Virginia,2001,257,1960964,13.11
Washington,2001,314,1688011,18.6
West Virginia,2001,75,446339,16.8
Wisconsin,2001,277,1535518,18.040000000000003
Wyoming,2001,21,142882,14.700000000000001
Alabama,2002,194,1244435,15.590000000000002
Alaska,2002,44,208485,21.1
Arizona,2002,274,1575649,17.39
Arkansas,2002,88,755574,11.65
California,2002,1792,10354903,17.31
Colorado,2002,205,1269413,16.150000000000002
Connecticut,2002,168,940829,17.86
Delaware,2002,34,221312,15.36
District of Columbia,2002,21,134833,15.57
Florida,2002,776,4190302,18.52
Georgia,2002,399,2493892,16
Hawaii,2002,37,326687,11.33
Idaho,2002,85,421525,20.16
Illinois,2002,584,3594189,16.25
Indiana,2002,327,1764686,18.53
Iowa,2002,158,817559,19.330000000000002
Kansas,2002,143,795970,17.97
Kentucky,2002,190,1109644,17.12
Louisiana,2002,201,1338467,15.02
Maine,2002,65,334528,19.430000000000003
Maryland,2002,233,1519125,15.340000000000002
Massachusetts,2002,264,1683589,15.680000000000001
Michigan,2002,544,2869862,18.96
Minnesota,2002,249,1439059,17.3
Missouri,2002,248,1589672,15.600000000000001
Montana,2002,53,253518,20.91
Nebraska,2002,81,504188,16.07
Nevada,2002,91,602712,15.100000000000001
New Hampshire,2002,56,348934,16.05
New Jersey,2002,422,2318754,18.2
New Mexico,2002,109,560824,19.44
New York,2002,912,5177855,17.61
North Carolina,2002,342,2273537,15.040000000000001
North Dakota,2002,20,177804,11.25
Ohio,2002,509,3182127,16
Oklahoma,2002,152,995124,15.27
Oregon,2002,177,949117,18.650000000000002
Pennsylvania,2002,615,3247389,18.94
Rhode Island,2002,44,284138,15.490000000000002
South Carolina,2002,181,1145171,15.81
South Dakota,2002,37,224075,16.51
Tennessee,2002,229,1570856,14.580000000000002
Texas,2002,1179,6731078,17.52
Utah,2002,144,823859,17.48
Vermont,2002,42,165358,25.400000000000002
Virginia,2002,301,1980961,15.190000000000001
Washington,2002,313,1687895,18.540000000000003
West Virginia,2002,78,443378,17.59
Wisconsin,2002,268,1532552,17.490000000000002
Alabama,2003,173,1242649,13.92
Alaska,2003,34,207363,16.400000000000002
Arizona,2003,240,1606325,14.940000000000001
Arkansas,2003,139,756927,18.36
California,2003,1633,10407621,15.690000000000001
Colorado,2003,240,1276428,18.8
Connecticut,2003,183,944098,19.380000000000003
Delaware,2003,46,222880,20.64
District of Columbia,2003,20,132400,15.11
Florida,2003,762,4252139,17.919999999999998
Georgia,2003,379,2526258,15
Hawaii,2003,47,327319,14.36
Idaho,2003,91,424477,21.44
Illinois,2003,573,3581302,16
Indiana,2003,285,1767761,16.12
Iowa,2003,132,813899,16.22
Kansas,2003,130,794276,16.37
Kentucky,2003,181,1112867,16.26
Louisiana,2003,209,1331577,15.700000000000001
Maine,2003,62,333646,18.580000000000002
Maryland,2003,238,1526497,15.590000000000002
Massachusetts,2003,292,1678346,17.400000000000002
Michigan,2003,500,2859024,17.490000000000002
Minnesota,2003,233,1435346,16.23
Mississippi,2003,131,851364,15.39
Missouri,2003,250,1588704,15.740000000000002
Montana,2003,41,252166,16.26
Nebraska,2003,93,503725,18.46
Nevada,2003,87,621575,14
New Hampshire,2003,72,348196,20.680000000000003
New Jersey,2003,432,2330306,18.540000000000003
New Mexico,2003,88,559903,15.719999999999999
New York,2003,892,5149468,17.32
North Carolina,2003,353,2300840,15.340000000000002
North Dakota,2003,43,174891,24.590000000000003
Ohio,2003,574,3169697,18.11
Oklahoma,2003,158,992384,15.92
Oregon,2003,158,949330,16.64
Pennsylvania,2003,602,3239738,18.580000000000002
Rhode Island,2003,52,283928,18.31
South Carolina,2003,155,1149948,13.480000000000002
South Dakota,2003,28,222664,12.58
Tennessee,2003,258,1582280,16.31
Texas,2003,1249,6809683,18.34
Utah,2003,148,829424,17.84
Vermont,2003,30,163855,18.31
Virginia,2003,294,1994268,14.740000000000002
Washington,2003,271,1686857,16.07
West Virginia,2003,76,441697,17.21
Wisconsin,2003,288,1526736,18.86
Wyoming,2003,25,140764,17.76
Alabama,2004,221,1244847,17.75
Alaska,2004,34,207317,16.400000000000002
Arizona,2004,275,1643951,16.73
Arkansas,2004,111,761182,14.580000000000002
California,2004,1849,10443725,17.7
Colorado,2004,217,1278974,16.97
Connecticut,2004,169,943246,17.919999999999998
Delaware,2004,47,224915,20.900000000000002
District of Columbia,2004,21,130664,16.07
Florida,2004,744,4338695,17.150000000000002
Georgia,2004,394,2563023,15.37
Hawaii,2004,48,331052,14.5
Idaho,2004,78,429860,18.150000000000002
Illinois,2004,616,3571714,17.25
Indiana,2004,290,1773433,16.35
Iowa,2004,126,812234,15.51
Kansas,2004,139,791308,17.57
Kentucky,2004,197,1113460,17.69
Louisiana,2004,192,1326027,14.480000000000002
Maine,2004,68,331832,20.490000000000002
Maryland,2004,223,1533272,14.540000000000001
Massachusetts,2004,287,1668500,17.2
Michigan,2004,500,2847180,17.56
Minnesota,2004,293,1434533,20.42
Mississippi,2004,87,852530,10.200000000000001
Missouri,2004,259,1590304,16.290000000000003
Montana,2004,54,251286,21.490000000000002
Nebraska,2004,97,503876,19.25
Nevada,2004,114,647180,17.61
New Hampshire,2004,78,346853,22.490000000000002
New Jersey,2004,457,2336900,19.560000000000002
New Mexico,2004,100,560713,17.830000000000002
New York,2004,983,5110669,19.230000000000004
North Carolina,2004,406,2330717,17.419999999999998
North Dakota,2004,33,173733,18.990000000000002
Ohio,2004,561,3160151,17.75
Oklahoma,2004,180,990091,18.180000000000003
Oregon,2004,175,945880,18.5
Pennsylvania,2004,588,3235436,18.169999999999998
Rhode Island,2004,56,283300,19.77
South Carolina,2004,183,1158386,15.8
South Dakota,2004,39,222129,17.56
Tennessee,2004,289,1594363,18.130000000000003
Texas,2004,1293,6893798,18.76
Utah,2004,138,839214,16.44
Vermont,2004,34,162214,20.96
Virginia,2004,327,2018321,16.2
Washington,2004,318,1695630,18.75
West Virginia,2004,78,441555,17.66
Wisconsin,2004,223,1523677,14.64
Wyoming,2004,22,140504,15.66
Alabama,2005,170,1247558,13.630000000000003
Alaska,2005,30,205778,14.580000000000002
Arizona,2005,297,1693743,17.540000000000003
Arkansas,2005,109,767761,14.200000000000001
California,2005,1816,10441553,17.39
Colorado,2005,240,1289504,18.61
Connecticut,2005,182,939226,19.380000000000003
Delaware,2005,41,227482,18.02
District of Columbia,2005,16,128159,12.48
Florida,2005,780,4426511,17.62
Georgia,2005,404,2610593,15.480000000000002
Hawaii,2005,57,331125,17.21
Idaho,2005,71,439230,16.16
Illinois,2005,614,3552913,17.28
Indiana,2005,302,1780255,16.96
Iowa,2005,150,809750,18.52
Kansas,2005,126,789469,15.96
Kentucky,2005,211,1119269,18.85
Louisiana,2005,181,1266232,14.290000000000001
Maine,2005,65,328883,19.76
Maryland,2005,232,1534518,15.12
Massachusetts,2005,297,1654917,17.95
Michigan,2005,522,2823815,18.490000000000002
Minnesota,2005,231,1429877,16.16
Mississippi,2005,133,842332,15.790000000000001
Missouri,2005,294,1591905,18.47
Montana,2005,50,250134,19.990000000000002
Nebraska,2005,90,503481,17.880000000000003
Nevada,2005,122,670125,18.21
New Hampshire,2005,70,345256,20.27
New Jersey,2005,430,2332099,18.44
New Mexico,2005,105,562362,18.669999999999998
New York,2005,911,5053118,18.03
North Carolina,2005,427,2371142,18.01
North Dakota,2005,36,171700,20.97
Ohio,2005,555,3142242,17.66
Oklahoma,2005,152,992206,15.32
Oregon,2005,161,948792,16.97
Pennsylvania,2005,626,3226468,19.400000000000002
Rhode Island,2005,49,278648,17.580000000000002
South Carolina,2005,155,1167061,13.280000000000001
South Dakota,2005,28,221267,12.65
Tennessee,2005,265,1612057,16.44
Texas,2005,1214,6976844,17.400000000000002
Utah,2005,161,854507,18.84
Vermont,2005,22,160018,13.75
Virginia,2005,341,2033460,16.77
Washington,2005,335,1698371,19.72
West Virginia,2005,72,439884,16.37
Wisconsin,2005,278,1517031,18.330000000000002
Wyoming,2005,20,140105,14.280000000000001
Alabama,2006,186,1259673,14.77
Alaska,2006,36,205868,17.490000000000002
Arizona,2006,298,1745335,17.07
Arkansas,2006,119,776646,15.32
California,2006,1768,10426324,16.96
Colorado,2006,210,1305551,16.09
Connecticut,2006,155,935104,16.580000000000002
Delaware,2006,45,229456,19.61
District of Columbia,2006,16,126846,12.61
Florida,2006,818,4495577,18.2
Georgia,2006,439,2669592,16.44
Hawaii,2006,46,332764,13.82
Idaho,2006,80,449429,17.8
Illinois,2006,592,3537020,16.740000000000002
Indiana,2006,305,1790845,17.03
Iowa,2006,117,812182,14.41
Kansas,2006,146,789101,18.5
Kentucky,2006,169,1126137,15.01
Louisiana,2006,183,1209304,15.130000000000003
Maine,2006,64,325899,19.64
Maryland,2006,232,1532167,15.14
Massachusetts,2006,346,1644388,21.040000000000003
Michigan,2006,502,2796852,17.95
Minnesota,2006,247,1430719,17.26
Mississippi,2006,129,846218,15.240000000000002
Missouri,2006,251,1596872,15.719999999999999
Montana,2006,44,250037,17.6
Nebraska,2006,86,503694,17.07
Nevada,2006,126,695646,18.11
New Hampshire,2006,70,343282,20.39
New Jersey,2006,443,2320362,19.09
New Mexico,2006,81,564480,14.350000000000001
New York,2006,959,5001918,19.169999999999998
North Carolina,2006,415,2420033,17.150000000000002
North Dakota,2006,29,170222,17.040000000000003
Ohio,2006,543,3128181,17.36
Oklahoma,2006,208,1001264,20.77
Oregon,2006,187,956786,19.540000000000003
Pennsylvania,2006,634,3223047,19.67
Rhode Island,2006,47,274986,17.09
South Carolina,2006,199,1182215,16.830000000000002
South Dakota,2006,30,221597,13.540000000000001
Tennessee,2006,253,1634569,15.480000000000002
Texas,2006,1352,7146953,18.919999999999998
Utah,2006,153,876494,17.46
Vermont,2006,34,157896,21.53
Virginia,2006,330,2046587,16.12
Washington,2006,305,1713930,17.8
West Virginia,2006,65,439691,14.780000000000001
Wisconsin,2006,269,1513469,17.77
Wyoming,2006,23,141210,16.290000000000003
Alabama,2007,210,1267999,16.56
Alaska,2007,34,204645,16.61
Arizona,2007,302,1785103,16.919999999999998
Arkansas,2007,144,782997,18.39
California,2007,1889,10419053,18.130000000000003
Colorado,2007,231,1323445,17.45
Connecticut,2007,169,930555,18.16
Delaware,2007,38,231779,16.39
District of Columbia,2007,18,125451,14.350000000000001
Florida,2007,854,4520513,18.89
Georgia,2007,472,2729049,17.3
Hawaii,2007,53,333499,15.89
Idaho,2007,83,460456,18.03
Illinois,2007,630,3531290,17.84
Indiana,2007,341,1800421,18.94
Iowa,2007,150,814834,18.41
Kansas,2007,142,794777,17.87
Kentucky,2007,208,1133012,18.36
Louisiana,2007,194,1229822,15.77
Maine,2007,56,322741,17.35
Maryland,2007,240,1527590,15.71
Massachusetts,2007,289,1637403,17.650000000000002
Michigan,2007,539,2765779,19.490000000000002
Minnesota,2007,251,1433925,17.5
Mississippi,2007,115,852442,13.490000000000002
Missouri,2007,226,1602212,14.11
Montana,2007,24,250912,9.57
Nebraska,2007,85,504876,16.84
Nevada,2007,115,718348,16.01
New Hampshire,2007,65,339591,19.14
New Jersey,2007,428,2310920,18.52
New Mexico,2007,93,568165,16.37
New York,2007,954,4965536,19.21
North Carolina,2007,452,2480165,18.22
North Dakota,2007,34,169876,20.01
Ohio,2007,484,3118812,15.52
Oklahoma,2007,194,1011828,19.169999999999998
Oregon,2007,214,964328,22.19
Pennsylvania,2007,655,3217880,20.36
Rhode Island,2007,38,271011,14.02
South Carolina,2007,195,1200413,16.240000000000002
South Dakota,2007,32,223026,14.350000000000001
Tennessee,2007,265,1652684,16.03
Texas,2007,1347,7276869,18.51
Utah,2007,167,903708,18.48
Vermont,2007,29,155971,18.59
Virginia,2007,351,2057072,17.06
Washington,2007,320,1729590,18.5
West Virginia,2007,81,439891,18.41
Wisconsin,2007,277,1512810,18.31
Wyoming,2007,25,144357,17.32
Alabama,2008,208,1276607,16.290000000000003
Alaska,2008,36,204039,17.64
Arizona,2008,279,1814820,15.37
Arkansas,2008,117,788595,14.840000000000002
California,2008,1933,10448668,18.5
Colorado,2008,229,1341086,17.080000000000002
Connecticut,2008,173,926767,18.669999999999998
Delaware,2008,57,233768,24.380000000000003
District of Columbia,2008,26,124867,20.82
Florida,2008,887,4527628,19.590000000000003
Georgia,2008,470,2763796,17.01
Hawaii,2008,56,335167,16.71
Idaho,2008,80,468822,17.06
Illinois,2008,629,3522622,17.86
Indiana,2008,352,1808812,19.46
Iowa,2008,143,818652,17.47
Kansas,2008,153,799701,19.130000000000003
Kentucky,2008,189,1142982,16.540000000000003
Louisiana,2008,209,1245348,16.78
Maine,2008,70,319449,21.91
Maryland,2008,275,1522335,18.06
Massachusetts,2008,301,1632561,18.44
Michigan,2008,514,2724448,18.87
Minnesota,2008,269,1435004,18.75
Mississippi,2008,123,855160,14.380000000000003
Missouri,2008,254,1604617,15.830000000000002
Montana,2008,41,251982,16.27
Nebraska,2008,98,507566,19.310000000000002
Nevada,2008,111,731131,15.180000000000001
New Hampshire,2008,73,335369,21.77
New Jersey,2008,435,2303527,18.880000000000003
New Mexico,2008,84,571815,14.690000000000001
New York,2008,943,4945553,19.07
North Carolina,2008,411,2523924,16.28
North Dakota,2008,25,169996,14.71
Ohio,2008,545,3105558,17.55
Oklahoma,2008,162,1021071,15.87
Oregon,2008,188,971055,19.36
Pennsylvania,2008,554,3208808,17.26
Rhode Island,2008,46,268132,17.16
South Carolina,2008,178,1217007,14.630000000000003
South Dakota,2008,32,224087,14.280000000000001
Tennessee,2008,326,1670378,19.52
Texas,2008,1441,7409811,19.450000000000003
Utah,2008,182,927945,19.61
Vermont,2008,28,154133,18.169999999999998
Virginia,2008,358,2067145,17.32
Washington,2008,323,1746269,18.5
West Virginia,2008,89,440893,20.19
Wisconsin,2008,312,1511190,20.650000000000002
Alabama,2009,208,1278959,16.26
Alaska,2009,35,207358,16.880000000000003
Arizona,2009,319,1817884,17.55
Arkansas,2009,145,792501,18.3
California,2009,1907,10451060,18.25
Colorado,2009,227,1356810,16.73
Connecticut,2009,201,921458,21.810000000000002
Delaware,2009,42,234309,17.930000000000003
District of Columbia,2009,20,125249,15.969999999999999
Florida,2009,800,4513647,17.72
Georgia,2009,456,2777234,16.419999999999998
Hawaii,2009,61,337593,18.07
Idaho,2009,78,472822,16.5
Illinois,2009,610,3509764,17.380000000000003
Indiana,2009,303,1809338,16.75
Iowa,2009,163,820403,19.87
Kansas,2009,151,806266,18.73
Kentucky,2009,210,1144346,18.35
Louisiana,2009,202,1251268,16.14
Maine,2009,53,315049,16.82
Maryland,2009,305,1518884,20.080000000000002
Massachusetts,2009,320,1628136,19.650000000000002
Michigan,2009,480,2682344,17.89
Minnesota,2009,280,1433773,19.53
Mississippi,2009,125,853197,14.65
Missouri,2009,267,1603978,16.650000000000002
Montana,2009,44,251745,17.48
Nebraska,2009,89,510372,17.44
Nevada,2009,122,736746,16.56
New Hampshire,2009,64,330126,19.39
New Jersey,2009,514,2297204,22.380000000000003
New Mexico,2009,87,576832,15.080000000000002
New York,2009,948,4922253,19.26
North Carolina,2009,413,2552467,16.180000000000003
North Dakota,2009,29,170889,16.97
Ohio,2009,526,3087465,17.040000000000003
Oklahoma,2009,174,1034601,16.82
Oregon,2009,160,972889,16.45
Pennsylvania,2009,604,3196745,18.89
Rhode Island,2009,44,264987,16.6
South Carolina,2009,173,1225444,14.12
South Dakota,2009,44,225225,19.540000000000003
Tennessee,2009,311,1674771,18.57
Texas,2009,1442,7543609,19.12
Utah,2009,169,949690,17.8
Vermont,2009,25,151791,16.47
Virginia,2009,323,2076842,15.55
Washington,2009,332,1763887,18.82
West Virginia,2009,89,440868,20.19
Wisconsin,2009,277,1507858,18.37
Wyoming,2009,29,151455,19.150000000000002
Alabama,2010,189,1273450,14.840000000000002
Alaska,2010,46,208454,22.07
Arizona,2010,329,1814489,18.130000000000003
Arkansas,2010,138,795709,17.34
California,2010,1928,10430475,18.48
Colorado,2010,248,1367000,18.14
Connecticut,2010,193,917055,21.05
Delaware,2010,43,233370,18.430000000000003
District of Columbia,2010,26,124175,20.94
Florida,2010,853,4503681,18.94
Georgia,2010,470,2781285,16.900000000000002
Hawaii,2010,56,338701,16.53
Idaho,2010,77,475457,16.19
Illinois,2010,637,3492547,18.240000000000002
Indiana,2010,342,1804429,18.95
Iowa,2010,148,821394,18.02
Kansas,2010,155,811974,19.09
Kentucky,2010,212,1146606,18.490000000000002
Louisiana,2010,214,1252622,17.080000000000002
Maine,2010,63,309962,20.330000000000002
Maryland,2010,224,1517852,14.76
Massachusetts,2010,299,1625172,18.400000000000002
Michigan,2010,526,2637956,19.94
Minnesota,2010,253,1432203,17.669999999999998
Mississippi,2010,134,846956,15.82
Missouri,2010,285,1599528,17.82
Montana,2010,51,251147,20.310000000000002
Nebraska,2010,106,513608,20.64
Nevada,2010,134,733539,18.27
New Hampshire,2010,73,325031,22.46
New Jersey,2010,452,2292103,19.72
New Mexico,2010,108,579948,18.62
New York,2010,981,4895434,20.040000000000003
North Carolina,2010,485,2560998,18.94
North Dakota,2010,27,172698,15.630000000000003
