state,year,count,population,crude_rate_100k
Ohio,2010,531,3060751,17.35
Oklahoma,2010,176,1042844,16.880000000000003
Oregon,2010,171,970863,17.61
Pennsylvania,2010,675,3174827,21.26
Rhode Island,2010,41,261481,15.680000000000001
South Carolina,2010,184,1222217,15.05
South Dakota,2010,29,227428,12.75
Tennessee,2010,280,1673849,16.73
Texas,2010,1483,7634449,19.430000000000003
Utah,2010,171,965012,17.72
Vermont,2010,25,150226,16.64
Virginia,2010,349,2086233,16.73
Washington,2010,318,1770242,17.96
West Virginia,2010,76,438496,17.330000000000002
Wisconsin,2010,264,1501575,17.580000000000002
Wyoming,2010,25,151449,16.51
Alabama,2011,196,1263895,15.51
Alaska,2011,47,208627,22.53
Arizona,2011,342,1795647,19.05
Arkansas,2011,128,793534,16.130000000000003
California,2011,1845,10370254,17.790000000000003
Colorado,2011,232,1374955,16.87
Connecticut,2011,175,915821,19.11
Delaware,2011,45,232502,19.35
District of Columbia,2011,25,126624,19.740000000000002
Florida,2011,856,4488437,19.07
Georgia,2011,493,2779227,17.740000000000002
Hawaii,2011,63,340886,18.48
Idaho,2011,81,475686,17.03
Illinois,2011,637,3467883,18.37
Indiana,2011,309,1795904,17.21
Iowa,2011,181,822275,22.01
Kansas,2011,143,812898,17.59
Kentucky,2011,229,1143121,20.03
Louisiana,2011,228,1246073,18.3
Maine,2011,68,306199,22.21
Maryland,2011,273,1520984,17.95
Massachusetts,2011,314,1626878,19.3
Michigan,2011,525,2603185,20.17
Minnesota,2011,251,1434697,17.490000000000002
Mississippi,2011,141,838698,16.81
Missouri,2011,286,1587236,18.02
Montana,2011,46,251443,18.290000000000003
Nebraska,2011,108,516752,20.900000000000002
Nevada,2011,113,724131,15.600000000000001
New Hampshire,2011,63,322239,19.55
New Jersey,2011,475,2293748,20.71
New Mexico,2011,92,579073,15.89
New York,2011,972,4888061,19.89
North Carolina,2011,461,2557053,18.03
North Dakota,2011,28,175850,15.92
Ohio,2011,519,3031650,17.12
Oklahoma,2011,179,1044976,17.130000000000003
Oregon,2011,198,967433,20.47
Pennsylvania,2011,644,3157064,20.400000000000002
Rhode Island,2011,54,259067,20.840000000000003
South Carolina,2011,204,1213760,16.81
South Dakota,2011,38,228717,16.61
Tennessee,2011,328,1668551,19.66
Texas,2011,1512,7693071,19.650000000000002
Utah,2011,188,971379,19.35
Vermont,2011,24,149750,16.03
Virginia,2011,327,2092221,15.630000000000003
Washington,2011,339,1770867,19.14
West Virginia,2011,83,435292,19.07
Wisconsin,2011,252,1496185,16.84
Wyoming,2011,21,150865,13.92
Alabama,2012,215,1257483,17.1
Alaska,2012,42,207844,20.21
Arizona,2012,339,1790431,18.930000000000003
Arkansas,2012,120,791147,15.17
California,2012,1888,10317070,18.3
Colorado,2012,249,1378145,18.07
Connecticut,2012,178,910496,19.55
Delaware,2012,52,232066,22.41
District of Columbia,2012,16,130042,12.3
Florida,2012,850,4486969,18.94
Georgia,2012,490,2779149,17.630000000000003
Hawaii,2012,55,343216,16.02
Idaho,2012,90,475563,18.919999999999998
Illinois,2012,601,3437783,17.48
Indiana,2012,346,1784361,19.39
Iowa,2012,152,820668,18.52
Kansas,2012,171,812823,21.040000000000003
Kentucky,2012,221,1138332,19.41
Louisiana,2012,221,1241363,17.8
Maine,2012,55,302137,18.2
Maryland,2012,250,1521070,16.44
Massachusetts,2012,317,1625373,19.5
Michigan,2012,539,2573737,20.94
Minnesota,2012,304,1431778,21.230000000000004
Mississippi,2012,129,831266,15.52
Missouri,2012,271,1574173,17.22
Montana,2012,47,250791,18.740000000000002
Nebraska,2012,112,518988,21.580000000000002
Nevada,2012,115,721354,15.940000000000001
New Hampshire,2012,63,317921,19.82
New Jersey,2012,459,2285979,20.080000000000002
New Mexico,2012,82,574742,14.27
New York,2012,1022,4876123,20.96
North Carolina,2012,461,2553139,18.06
North Dakota,2012,20,180928,11.05
Ohio,2012,518,3003532,17.25
Oklahoma,2012,181,1047147,17.290000000000003
Oregon,2012,195,962738,20.25
Pennsylvania,2012,629,3135457,20.060000000000002
Rhode Island,2012,56,257106,21.78
South Carolina,2012,189,1210232,15.62
South Dakota,2012,37,229822,16.1
Tennessee,2012,306,1668708,18.34
Texas,2012,1519,7752093,19.590000000000003
Utah,2012,182,977592,18.62
Vermont,2012,21,148122,14.180000000000001
Virginia,2012,313,2100329,14.9
Washington,2012,342,1771021,19.310000000000002
West Virginia,2012,75,433159,17.31
Wisconsin,2012,292,1487603,19.630000000000003
Wyoming,2012,25,151943,16.45
Alabama,2013,217,1252409,17.330000000000002
Alaska,2013,37,207699,17.81
Arizona,2013,300,1787090,16.790000000000003
Arkansas,2013,131,788196,16.62
California,2013,1885,10281356,18.330000000000002
Colorado,2013,252,1383194,18.22
Connecticut,2013,180,900260,19.990000000000002
Delaware,2013,29,230950,12.56
District of Columbia,2013,33,133659,24.69
Florida,2013,854,4504408,18.96
Georgia,2013,511,2776752,18.400000000000002
Hawaii,2013,64,345374,18.53
Idaho,2013,89,477668,18.630000000000003
Illinois,2013,647,3406313,18.990000000000002
Indiana,2013,312,1781561,17.51
Iowa,2013,164,823432,19.92
Kansas,2013,162,811514,19.96
Kentucky,2013,213,1138299,18.71
Louisiana,2013,204,1238745,16.47
Maine,2013,57,298489,19.1
Maryland,2013,273,1519545,17.97
Massachusetts,2013,284,1624173,17.490000000000002
Michigan,2013,452,2549860,17.73
Minnesota,2013,275,1432396,19.200000000000003
Mississippi,2013,130,824720,15.76
Missouri,2013,277,1564946,17.7
Montana,2013,33,252195,13.090000000000002
Nebraska,2013,105,521700,20.130000000000003
Nevada,2013,105,722574,14.530000000000001
New Hampshire,2013,55,313453,17.55
New Jersey,2013,461,2277452,20.240000000000002
New Mexico,2013,88,570265,15.430000000000001
New York,2013,1053,4861824,21.66
North Carolina,2013,417,2550293,16.35
North Dakota,2013,32,187543,17.06
Ohio,2013,601,2989139,20.11
Oklahoma,2013,182,1054508,17.26
Oregon,2013,166,958401,17.32
Pennsylvania,2013,633,3114308,20.330000000000002
Rhode Island,2013,43,254772,16.880000000000003
South Carolina,2013,202,1207716,16.73
South Dakota,2013,41,231477,17.71
Tennessee,2013,293,1668674,17.56
Texas,2013,1518,7817791,19.42
Utah,2013,187,989314,18.900000000000002
Vermont,2013,19,146557,12.96
Virginia,2013,343,2103307,16.31
Washington,2013,319,1775480,17.97
West Virginia,2013,82,431181,19.02
Wisconsin,2013,259,1480016,17.5
Wyoming,2013,25,153450,16.290000000000003
Alabama,2014,234,1248641,18.740000000000002
Alaska,2014,27,205939,13.11
Arizona,2014,328,1789283,18.330000000000002
Arkansas,2014,156,786190,19.840000000000003
California,2014,1990,10252905,19.41
Colorado,2014,271,1391463,19.480000000000004
Connecticut,2014,165,891933,18.5
Delaware,2014,49,230509,21.26
District of Columbia,2014,21,136274,15.41
Florida,2014,968,4531200,21.36
Georgia,2014,502,2781718,18.05
Hawaii,2014,61,344980,17.680000000000003
Idaho,2014,75,481871,15.56
Illinois,2014,645,3373212,19.12
Indiana,2014,315,1777906,17.72
Iowa,2014,180,827077,21.76
Kansas,2014,154,810326,19
Kentucky,2014,218,1135044,19.21
Louisiana,2014,211,1238097,17.040000000000003
Maine,2014,60,295821,20.28
Maryland,2014,269,1523016,17.66
Massachusetts,2014,289,1622378,17.81
Michigan,2014,477,2529247,18.86
Minnesota,2014,278,1436779,19.35
Mississippi,2014,128,818840,15.630000000000003
Missouri,2014,272,1558653,17.45
Montana,2014,52,253167,20.540000000000003
Nebraska,2014,96,525169,18.28
Nevada,2014,135,726108,18.59
New Hampshire,2014,80,309760,25.830000000000002
New Jersey,2014,475,2272038,20.91
New Mexico,2014,88,564091,15.600000000000001
New York,2014,1021,4841587,21.090000000000003
North Carolina,2014,462,2548178,18.130000000000003
North Dakota,2014,23,193227,11.9
Ohio,2014,528,2978111,17.73
Oklahoma,2014,163,1059384,15.39
Oregon,2014,192,961229,19.97
Pennsylvania,2014,589,3098898,19.01
Rhode Island,2014,54,253160,21.330000000000002
South Carolina,2014,192,1211114,15.850000000000001
South Dakota,2014,50,233122,21.450000000000003
Tennessee,2014,339,1671080,20.290000000000003
Texas,2014,1540,7912748,19.46
Utah,2014,176,997232,17.650000000000002
Vermont,2014,29,144881,20.02
Virginia,2014,356,2104566,16.919999999999998
Washington,2014,368,1784637,20.62
West Virginia,2014,86,429157,20.040000000000003
Wisconsin,2014,293,1472985,19.89
Wyoming,2014,29,153271,18.919999999999998
Alabama,2015,254,1248676,20.340000000000003
Alaska,2015,38,204804,18.55
Arizona,2015,373,1791893,20.82
Arkansas,2015,138,786084,17.56
California,2015,2048,10233713,20.01
Colorado,2015,255,1403855,18.16
Connecticut,2015,162,882614,18.35
Delaware,2015,48,230905,20.790000000000003
District of Columbia,2015,25,139086,17.97
Florida,2015,1002,4581732,21.87
Georgia,2015,536,2794532,19.180000000000003
Hawaii,2015,61,346311,17.61
Idaho,2015,90,486202,18.51
Illinois,2015,631,3343564,18.87
Indiana,2015,355,1774241,20.01
Iowa,2015,179,829347,21.580000000000002
Kansas,2015,158,809232,19.52
Kentucky,2015,232,1134815,20.44
Louisiana,2015,253,1239760,20.41
Maine,2015,63,292512,21.540000000000003
Maryland,2015,268,1524205,17.580000000000002
Massachusetts,2015,311,1618344,19.22
Michigan,2015,428,2509250,17.06
Minnesota,2015,292,1439988,20.28
Mississippi,2015,121,813225,14.880000000000003
Missouri,2015,318,1555601,20.44
Montana,2015,35,254337,13.76
Nebraska,2015,89,528928,16.830000000000002
Nevada,2015,158,732874,21.560000000000002
New Hampshire,2015,61,306314,19.91
New Jersey,2015,442,2266048,19.51
New Mexico,2015,106,559459,18.95
New York,2015,1038,4827598,21.5
North Carolina,2015,496,2551335,19.44
North Dakota,2015,36,199288,18.06
Ohio,2015,624,2967885,21.03
Oklahoma,2015,186,1067368,17.430000000000003
Oregon,2015,204,965333,21.130000000000003
Pennsylvania,2015,632,3085612,20.480000000000004
Rhode Island,2015,51,252093,20.230000000000004
South Carolina,2015,202,1219204,16.57
South Dakota,2015,31,234114,13.240000000000002
Tennessee,2015,288,1676382,17.180000000000003
Texas,2015,1600,8019632,19.950000000000003
Utah,2015,203,1007330,20.150000000000002
Vermont,2015,29,143788,20.17
Virginia,2015,350,2108455,16.6
Washington,2015,379,1799406,21.060000000000002
West Virginia,2015,71,426250,16.66
Wisconsin,2015,260,1467155,17.72
Wyoming,2015,22,154488,14.240000000000002
Alabama,2016,280,1250345,22.39
Alaska,2016,27,205548,13.14
Arizona,2016,309,1797187,17.19
Arkansas,2016,135,786350,17.169999999999998
California,2016,1953,10202315,19.14
Colorado,2016,238,1412146,16.85
Connecticut,2016,173,874610,19.78
Delaware,2016,48,231657,20.72
District of Columbia,2016,23,140610,16.36
Florida,2016,962,4649027,20.69
Georgia,2016,543,2812879,19.3
Hawaii,2016,56,346611,16.16
Idaho,2016,92,493223,18.650000000000002
Illinois,2016,672,3315189,20.27
Indiana,2016,342,1775628,19.26
Iowa,2016,174,831639,20.92
Kansas,2016,146,807121,18.09
Kentucky,2016,236,1135568,20.78
Louisiana,2016,200,1241897,16.1
Maine,2016,62,290843,21.32
Maryland,2016,272,1527292,17.81
Massachusetts,2016,315,1615181,19.5
Michigan,2016,491,2498450,19.650000000000002
Minnesota,2016,276,1448841,19.05
Mississippi,2016,149,808861,18.419999999999998
Missouri,2016,307,1553547,19.76
Montana,2016,50,256079,19.53
Nebraska,2016,109,533410,20.430000000000003
Nevada,2016,151,741114,20.37
New Hampshire,2016,54,304051,17.76
New Jersey,2016,487,2264110,21.51
New Mexico,2016,88,555921,15.830000000000002
New York,2016,999,4812427,20.76
North Carolina,2016,523,2566852,20.380000000000003
North Dakota,2016,33,200724,16.44
Ohio,2016,543,2959565,18.35
Oklahoma,2016,202,1070792,18.86
Oregon,2016,171,974379,17.55
Pennsylvania,2016,629,3075303,20.450000000000003
Rhode Island,2016,46,251553,18.290000000000003
South Carolina,2016,219,1227031,17.85
South Dakota,2016,44,236506,18.6
Tennessee,2016,317,1684191,18.82
Texas,2016,1594,8109784,19.66
Utah,2016,189,1022229,18.490000000000002
Vermont,2016,27,142312,18.97
Virginia,2016,364,2115887,17.2
Washington,2016,372,1823033,20.41
West Virginia,2016,77,422540,18.22
Wisconsin,2016,290,1462315,19.830000000000002
Wyoming,2016,33,153696,21.47
Alabama,2017,223,1250946,17.830000000000002
Alaska,2017,42,204175,20.57
Arizona,2017,323,1796263,17.98
Arkansas,2017,141,786133,17.94
California,2017,1825,10167604,17.95
Colorado,2017,282,1415360,19.92
Connecticut,2017,176,868255,20.27
Delaware,2017,54,232360,23.240000000000002
District of Columbia,2017,23,143845,15.990000000000002
Florida,2017,929,4699258,19.77
Georgia,2017,514,2823263,18.21
Hawaii,2017,58,345684,16.78
Idaho,2017,92,500960,18.36
Illinois,2017,642,3286354,19.540000000000003
Indiana,2017,300,1775983,16.89
Iowa,2017,169,833605,20.27
Kansas,2017,158,803765,19.66
Kentucky,2017,257,1137648,22.590000000000003
Louisiana,2017,186,1236712,15.040000000000001
Maine,2017,76,288917,26.310000000000002
Maryland,2017,256,1530203,16.73
Massachusetts,2017,320,1615467,19.810000000000002
Michigan,2017,424,2488648,17.040000000000003
Minnesota,2017,309,1458066,21.19
Mississippi,2017,131,803635,16.3
Missouri,2017,245,1552493,15.780000000000001
Montana,2017,62,257790,24.05
Nebraska,2017,109,536746,20.310000000000002
Nevada,2017,135,748809,18.03
New Hampshire,2017,66,302032,21.85
New Jersey,2017,457,2267593,20.150000000000002
New Mexico,2017,80,551507,14.51
New York,2017,1028,4793336,21.450000000000003
North Carolina,2017,453,2577649,17.57
North Dakota,2017,30,201754,14.87
Ohio,2017,538,2957947,18.19
Oklahoma,2017,172,1068531,16.1
Oregon,2017,218,977998,22.290000000000003
Pennsylvania,2017,604,3070702,19.67
Rhode Island,2017,56,250190,22.380000000000003
South Carolina,2017,215,1234529,17.419999999999998
South Dakota,2017,40,239129,16.73
Tennessee,2017,312,1693678,18.419999999999998
Texas,2017,1552,8172127,18.990000000000002
Utah,2017,227,1034205,21.950000000000003
Vermont,2017,35,141447,24.740000000000002
Virginia,2017,343,2122008,16.16
Washington,2017,368,1843601,19.96
West Virginia,2017,81,417913,19.380000000000003
Wisconsin,2017,283,1459797,19.39
Wyoming,2017,26,151087,17.21
Alabama,2018,206,1252711,16.44
Alaska,2018,38,201668,18.84
Arizona,2018,373,1798459,20.740000000000002
Arkansas,2018,132,785004,16.82
California,2018,1890,10112152,18.69
Colorado,2018,257,1419870,18.1
Connecticut,2018,160,863084,18.540000000000003
Delaware,2018,56,233129,24.02
District of Columbia,2018,23,145505,15.81
Florida,2018,956,4733157,20.200000000000003
Georgia,2018,526,2830815,18.580000000000002
Hawaii,2018,64,344436,18.580000000000002
Idaho,2018,76,505845,15.02
Illinois,2018,643,3256090,19.75
Indiana,2018,320,1780428,17.97
Iowa,2018,136,832601,16.330000000000002
Kansas,2018,151,800803,18.86
Kentucky,2018,247,1137678,21.71
Louisiana,2018,244,1230763,19.830000000000002
Maine,2018,63,287145,21.94
Maryland,2018,257,1532381,16.77
Massachusetts,2018,301,1612332,18.669999999999998
Michigan,2018,488,2474790,19.72
Minnesota,2018,304,1464481,20.76
Mississippi,2018,119,795615,14.96
Missouri,2018,269,1550648,17.35
Montana,2018,55,257958,21.32
Nebraska,2018,119,539119,22.07
Nevada,2018,155,757376,20.47
New Hampshire,2018,66,299433,22.040000000000003
New Jersey,2018,451,2270116,19.87
New Mexico,2018,88,546545,16.1
New York,2018,1024,4775888,21.44
North Carolina,2018,445,2587851,17.2
North Dakota,2018,32,204069,15.680000000000001
Ohio,2018,554,2950452,18.78
Oklahoma,2018,185,1067039,17.34
Oregon,2018,176,976166,18.03
Pennsylvania,2018,574,3068334,18.71
Rhode Island,2018,56,250154,22.39
South Carolina,2018,204,1240967,16.44
South Dakota,2018,35,239945,14.590000000000002
Tennessee,2018,259,1702308,15.21
Texas,2018,1614,8214114,19.650000000000002
Utah,2018,217,1041649,20.830000000000002
Vermont,2018,26,140343,18.53
Virginia,2018,344,2126146,16.180000000000003
Washington,2018,357,1854373,19.25
West Virginia,2018,88,413894,21.26
Wisconsin,2018,285,1456227,19.57
Wyoming,2018,27,149513,18.06
Alabama,2019,189,1253568,15.080000000000002
Alaska,2019,35,198830,17.6
Arizona,2019,347,1801368,19.26
Arkansas,2019,131,782773,16.740000000000002
California,2019,1785,10031937,17.790000000000003
Colorado,2019,261,1416055,18.430000000000003
Connecticut,2019,142,855498,16.6
Delaware,2019,36,233721,15.4
District of Columbia,2019,28,146302,19.14
Florida,2019,975,4746306,20.540000000000003
Georgia,2019,483,2837249,17.02
Hawaii,2019,46,341921,13.450000000000001
Idaho,2019,87,511615,17
Illinois,2019,626,3223324,19.42
Indiana,2019,279,1781041,15.66
Iowa,2019,151,832460,18.14
Kansas,2019,146,796945,18.32
Kentucky,2019,233,1135826,20.51
Louisiana,2019,214,1224395,17.48
Maine,2019,61,286366,21.3
Maryland,2019,293,1534455,19.09
Massachusetts,2019,310,1604026,19.330000000000002
Michigan,2019,393,2457921,15.990000000000002
Minnesota,2019,295,1468262,20.090000000000003
Mississippi,2019,112,788554,14.200000000000001
Missouri,2019,266,1548077,17.180000000000003
Montana,2019,49,258216,18.98
Nebraska,2019,107,540054,19.810000000000002
Nevada,2019,137,764771,17.91
New Hampshire,2019,58,297332,19.51
New Jersey,2019,426,2270780,18.76
New Mexico,2019,102,542570,18.8
New York,2019,941,4750606,19.810000000000002
North Carolina,2019,469,2592554,18.09
North Dakota,2019,36,206283,17.45
Ohio,2019,589,2942255,20.02
Oklahoma,2019,205,1066104,19.230000000000004
Oregon,2019,173,973039,17.78
Pennsylvania,2019,624,3055348,20.42
Rhode Island,2019,42,248668,16.89
South Carolina,2019,198,1246902,15.880000000000003
South Dakota,2019,37,240963,15.36
Tennessee,2019,289,1705352,16.95
Texas,2019,1570,8258161,19.01
Utah,2019,204,1046127,19.5
Vermont,2019,28,139309,20.1
Virginia,2019,412,2130427,19.340000000000003
Washington,2019,373,1862282,20.03
West Virginia,2019,84,409661,20.5
Wisconsin,2019,269,1451315,18.53
Wyoming,2019,27,148453,18.19
Alabama,2020,201,1252961,16.040000000000003
Alaska,2020,33,196833,16.77
Arizona,2020,322,1797655,17.91
Arkansas,2020,122,779232,15.66
California,2020,1745,9911839,17.61
Colorado,2020,268,1407914,19.040000000000003
Connecticut,2020,173,846366,20.44
Delaware,2020,43,233989,18.380000000000003
District of Columbia,2020,31,138609,22.37
Florida,2020,915,4752216,19.25
Georgia,2020,518,2826070,18.330000000000002
Hawaii,2020,51,337555,15.11
Idaho,2020,80,515584,15.52
Illinois,2020,587,3177225,18.48
Iowa,2020,143,828838,17.25
Kansas,2020,133,790997,16.81
Kentucky,2020,204,1130680,18.040000000000003
Louisiana,2020,199,1212086,16.419999999999998
Maine,2020,65,284217,22.87
Maryland,2020,254,1527500,16.630000000000003
Massachusetts,2020,272,1578332,17.23
Michigan,2020,369,2433725,15.16
Minnesota,2020,266,1464734,18.16
Mississippi,2020,98,778277,12.590000000000002
Missouri,2020,246,1541203,15.96
Montana,2020,38,258917,14.680000000000001
Nebraska,2020,88,539091,16.32
Nevada,2020,137,766006,17.880000000000003
New Hampshire,2020,58,294342,19.700000000000003
New Jersey,2020,427,2262277,18.87
New Mexico,2020,74,537034,13.780000000000001
New York,2020,920,4694118,19.6
North Carolina,2020,445,2578660,17.26
North Dakota,2020,30,207554,14.450000000000001
Ohio,2020,523,2921500,17.900000000000002
Oklahoma,2020,173,1064162,16.26
Oregon,2020,178,966858,18.41
Pennsylvania,2020,542,3035112,17.86
Rhode Island,2020,40,246410,16.23
South Carolina,2020,186,1247280,14.91
South Dakota,2020,45,241136,18.66
Tennessee,2020,287,1704955,16.830000000000002
Texas,2020,1506,8273250,18.2
Utah,2020,218,1046391,20.830000000000002
Vermont,2020,32,137886,23.21
Virginia,2020,340,2125043,16
Washington,2020,361,1863741,19.37
West Virginia,2020,85,404838,21
Wisconsin,2020,253,1440144,17.57
Wyoming,2020,37,147897,25.02
Alabama,2021,156,1248432,12.5
Alaska,2021,31,194628,15.930000000000001
Arizona,2021,321,1780190,18.03
Arkansas,2021,134,775555,17.28
California,2021,1682,9634165,17.46
Colorado,2021,235,1383151,16.990000000000002
Connecticut,2021,161,844666,19.06
Delaware,2021,39,233207,16.72
District of Columbia,2021,27,144769,18.650000000000002
Florida,2021,947,4738889,19.980000000000004
Georgia,2021,507,2798271,18.12
Hawaii,2021,51,332166,15.350000000000001
Idaho,2021,89,522511,17.03
Illinois,2021,561,3104921,18.07
Iowa,2021,148,821616,18.01
Kansas,2021,126,781045,16.130000000000003
Kentucky,2021,210,1118632,18.77
Louisiana,2021,196,1194046,16.41
Maine,2021,65,281786,23.07
Maryland,2021,213,1508622,14.12
Massachusetts,2021,276,1559168,17.7
Michigan,2021,366,2381859,15.37
Minnesota,2021,252,1446771,17.419999999999998
Mississippi,2021,123,767713,16.02
Missouri,2021,245,1529584,16.02
Montana,2021,42,259567,16.180000000000003
Nebraska,2021,104,533227,19.5
Nevada,2021,108,760646,14.200000000000001
New Hampshire,2021,55,289037,19.03
New Jersey,2021,462,2229840,20.72
New Mexico,2021,80,525590,15.219999999999999
New York,2021,944,4585904,20.580000000000002
North Carolina,2021,435,2578092,16.87
North Dakota,2021,37,207239,17.85
Ohio,2021,557,2872337,19.39
Oklahoma,2021,204,1061686,19.21
Oregon,2021,173,951929,18.169999999999998
Pennsylvania,2021,568,3017424,18.82
Rhode Island,2021,42,241949,17.36
South Carolina,2021,188,1246302,15.080000000000002
South Dakota,2021,41,241296,16.990000000000002
Tennessee,2021,346,1697511,20.380000000000003
Texas,2021,1557,8245806,18.880000000000003
Utah,2021,243,1042726,23.3
Vermont,2021,25,136128,18.37
Virginia,2021,273,2104377,12.969999999999999
Washington,2021,335,1829763,18.31
West Virginia,2021,67,399699,16.76
Wisconsin,2021,233,1409256,16.53
Wyoming,2021,16,146447,10.93
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
